到着日,全ての国地域,東京都,千葉県,非公表等_行動歴,愛知県,大阪府,フィリピン,兵庫県,京都府,岐阜県,アメリカ,神奈川県,非公表等_居住地,PCR検査人数(前日比),埼玉県,パキスタン,インド,ネパール,インドネシア,福岡県,広島県,ロシア,バングラデシュ,イギリス,アラブ首長国連邦,茨城県
2020/04/26,1,0,0,0,0,0,0,0,0,0,0,0,0,732,1,0,0,0,0,0,0,0,0,0,0,0
2020/04/27,2,0,0,1,0,0,0,0,0,0,0,1,1,592,0,0,0,0,0,0,0,0,0,0,0,0
2020/04/28,3,0,1,0,0,0,0,0,0,0,0,0,0,711,0,0,0,0,0,0,0,0,0,0,0,0
2020/04/29,2,0,0,0,1,0,2,0,0,0,0,0,1,636,0,0,0,0,0,0,0,0,0,0,0,0
2020/04/30,0,0,0,0,0,0,0,0,0,0,0,0,0,591,0,0,0,0,0,0,0,0,0,0,0,0
2020/05/01,1,0,0,1,0,0,0,0,0,0,0,0,1,706,0,0,0,0,0,0,0,0,0,0,0,0
2020/05/02,0,0,0,0,0,0,0,0,0,0,0,0,0,805,0,0,0,0,0,0,0,0,0,0,0,0
2020/05/03,0,0,0,0,0,0,0,0,0,0,0,0,0,692,0,0,0,0,0,0,0,0,0,0,0,0
2020/05/04,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0
2020/05/05,1,1,0,0,0,0,0,0,0,0,1,0,0,406,0,0,0,0,0,0,0,0,0,0,0,0
2020/05/06,2,0,1,1,0,0,0,0,0,0,0,0,0,399,0,0,0,0,0,0,0,0,0,0,0,0
2020/05/07,1,0,0,1,0,0,0,0,0,0,0,0,1,487,0,0,0,0,0,0,0,0,0,0,0,0
2020/05/08,0,0,0,0,0,0,0,0,0,0,0,0,0,425,0,0,0,0,0,0,0,0,0,0,0,0
2020/05/09,2,0,0,0,0,0,2,0,0,0,0,0,0,581,0,0,0,0,0,0,0,0,0,0,0,0
2020/05/10,1,0,0,1,0,0,0,0,0,0,0,0,1,648,0,0,0,0,0,0,0,0,0,0,0,0
2020/05/11,1,0,0,0,0,0,0,0,0,0,1,0,1,633,0,0,0,0,0,0,0,0,0,0,0,0
2020/05/12,1,1,0,0,0,0,0,0,0,0,1,0,0,692,0,0,0,0,0,0,0,0,0,0,0,0
2020/05/13,0,0,0,0,0,0,0,0,0,0,0,0,0,231,0,0,0,0,0,0,0,0,0,0,0,0
2020/05/14,0,0,0,0,0,0,0,0,0,0,0,0,0,525,0,0,0,0,0,0,0,0,0,0,0,0
2020/05/15,2,1,0,0,0,0,0,0,0,0,1,0,1,578,0,0,0,0,0,0,0,0,0,0,1,0
2020/05/16,0,0,0,0,0,0,0,0,0,0,0,0,0,658,0,0,0,0,0,0,0,0,0,0,0,0
2020/05/17,0,0,0,0,0,0,0,0,0,0,0,0,0,732,0,0,0,0,0,0,0,0,0,0,0,0
2020/05/18,0,0,0,0,0,0,0,0,0,0,0,0,0,482,0,0,0,0,0,0,0,0,0,0,0,0
2020/05/19,0,0,0,0,0,0,0,0,0,0,0,0,0,643,0,0,0,0,0,0,0,0,0,0,0,0
2020/05/20,1,0,0,1,0,0,0,0,0,0,0,0,1,360,0,0,0,0,0,0,0,0,0,0,0,0
2020/05/21,0,0,0,0,0,0,0,0,0,0,0,0,0,513,0,0,0,0,0,0,0,0,0,0,0,0
2020/05/22,1,0,0,0,0,0,0,0,0,0,1,0,0,506,0,0,0,0,0,0,0,0,0,0,0,1
2020/05/23,2,0,1,0,1,0,1,0,0,0,0,0,0,597,0,0,0,0,0,0,0,0,0,0,0,0
2020/05/24,1,0,0,0,0,0,0,0,0,0,0,0,0,645,0,0,0,0,0,0,0,0,0,0,0,0
2020/05/25,4,0,0,1,3,0,0,0,0,0,0,0,1,449,0,0,0,0,0,0,0,0,0,0,0,0
2020/05/26,3,0,1,1,0,0,0,0,0,0,0,0,1,706,0,0,0,0,0,0,0,0,0,0,1,0
2020/05/27,2,0,0,0,0,0,1,0,0,0,0,0,0,503,0,0,0,0,1,0,0,0,0,0,0,0
2020/05/28,10,2,0,8,7,0,0,0,0,0,0,0,1,595,0,0,0,0,0,0,0,0,0,1,0,0
2020/05/29,4,0,0,1,0,0,1,1,0,1,0,0,1,592,0,2,0,0,0,0,0,0,0,0,0,0
2020/05/30,4,0,0,0,0,0,0,0,0,0,0,0,1,858,2,0,0,0,1,0,0,0,0,0,0,0
2020/05/31,1,0,0,0,0,0,0,0,0,0,0,0,0,1252,0,0,0,0,0,0,0,0,0,1,0,0
2020/06/01,2,0,0,2,0,0,0,0,0,0,0,0,1,748,0,0,0,0,0,0,0,0,0,0,0,0
2020/06/02,3,0,1,1,1,0,2,0,0,0,0,0,1,886,0,0,0,0,0,0,0,0,0,0,0,0
2020/06/03,5,0,1,2,0,0,0,0,0,0,0,0,1,770,1,2,0,0,0,0,0,0,0,0,0,0
2020/06/04,1,0,0,0,0,0,0,0,0,0,0,0,0,709,0,0,0,0,0,0,0,0,0,0,0,0
2020/06/05,1,0,0,0,0,0,1,0,0,0,0,1,0,969,0,0,0,0,0,0,0,0,0,0,0,0
2020/06/06,6,0,0,0,0,0,1,0,0,0,0,3,0,1045,0,0,0,0,0,0,0,0,0,0,0,0
2020/06/07,14,1,0,0,4,0,0,0,0,4,0,0,1,1098,0,14,0,0,0,0,0,0,0,0,0,0
2020/06/08,2,0,0,0,0,0,0,0,0,0,0,1,0,719,1,1,0,0,0,0,0,0,0,0,0,0
2020/06/09,2,0,0,0,0,0,0,0,0,0,0,0,1,827,0,1,0,0,0,0,0,0,0,0,0,0
2020/06/10,0,0,0,0,0,0,0,0,0,0,0,0,0,672,0,0,0,0,0,0,0,0,0,0,0,0
2020/06/11,4,0,0,2,2,0,0,0,0,0,0,0,2,802,0,0,0,0,0,0,0,0,0,0,0,0
2020/06/12,13,1,1,1,0,0,1,0,0,2,1,2,2,1061,3,9,0,0,0,0,0,1,0,0,0,1
2020/06/13,6,1,0,1,0,0,4,0,0,0,0,0,1,1183,2,1,0,0,0,0,0,0,0,0,0,0
2020/06/14,11,0,2,0,4,2,0,0,0,0,0,0,0,1205,0,9,0,0,1,0,0,1,0,0,0,0
2020/06/15,2,0,0,0,0,0,0,0,0,0,1,1,0,878,0,0,0,0,1,0,0,0,0,0,0,0
2020/06/16,3,1,0,0,0,0,1,0,0,0,1,0,0,871,1,1,0,0,0,0,0,0,0,0,0,1
2020/06/17,3,0,1,1,0,0,0,0,0,0,0,0,0,771,1,1,1,0,0,0,0,0,0,0,0,1
2020/06/18,3,0,0,1,2,0,0,0,0,0,0,0,1,838,0,3,0,0,0,0,0,0,0,0,0,0
2020/06/19,2,1,0,0,0,0,0,0,0,0,1,0,0,1173,0,0,0,0,0,0,0,0,0,0,1,0
2020/06/20,6,2,1,0,1,0,0,0,0,0,0,0,0,1155,1,2,1,0,0,1,0,0,0,0,0,0
2020/06/21,2,1,0,1,0,1,0,0,0,0,0,0,0,1440,0,0,0,0,1,0,0,0,0,0,0,0
2020/06/22,8,0,0,3,1,0,3,0,0,0,1,0,3,993,1,0,1,0,0,1,0,0,0,0,0,0
2020/06/23,4,0,0,0,0,0,0,0,0,0,0,0,1,818,0,3,0,0,0,0,0,0,0,0,0,0
2020/06/24,5,0,2,1,0,0,1,0,0,0,1,1,2,794,0,2,0,0,0,0,0,0,0,0,0,0
2020/06/25,3,0,0,0,1,0,0,0,0,0,0,0,1,1064,0,1,0,0,0,0,0,0,0,0,0,0
2020/06/26,5,0,0,1,1,0,2,0,1,1,0,0,1,1239,0,1,0,0,0,0,0,0,0,0,0,0
2020/06/27,0,0,0,0,0,0,0,0,0,0,0,0,0,1117,0,0,0,0,0,0,0,0,0,0,0,0
2020/06/28,7,2,3,0,0,0,0,0,0,0,1,1,0,1335,0,2,2,0,0,0,0,0,0,0,0,0
2020/06/29,0,0,0,0,0,0,0,0,0,0,0,0,0,893,0,0,0,0,0,0,0,0,0,0,0,0
2020/06/30,1,0,1,0,0,0,0,0,0,0,0,0,0,742,0,0,1,0,0,0,0,0,0,0,0,0
2020/07/01,1,0,0,0,0,0,0,0,0,0,0,0,0,1058,1,1,0,0,0,0,0,0,0,0,0,0
2020/07/02,6,2,2,1,0,0,4,0,0,0,0,0,1,1181,0,0,0,0,1,0,0,0,0,0,0,0
2020/07/03,10,2,2,0,0,0,1,0,0,0,0,0,0,1163,2,9,0,0,0,0,0,0,0,0,0,0
2020/07/04,5,1,0,2,1,0,1,0,0,0,0,1,2,1359,0,0,0,0,0,0,0,0,0,0,0,0
2020/07/05,4,0,1,1,2,0,0,0,0,0,0,0,1,1733,0,3,0,0,0,0,0,0,0,0,0,0
2020/07/06,2,1,0,0,0,0,1,0,0,0,1,0,1,1046,0,0,0,0,0,0,0,0,0,0,0,0
2020/07/07,3,0,1,0,1,1,1,0,0,0,0,0,0,1217,0,0,1,0,0,0,0,0,0,0,1,0
2020/07/08,14,0,5,3,0,1,5,0,0,0,3,4,3,1173,1,2,0,0,1,0,0,0,0,0,0,0
2020/07/09,3,1,1,2,0,0,1,0,0,0,0,0,1,1033,0,0,0,0,0,0,0,0,0,0,0,0
2020/07/10,17,0,1,2,0,0,10,4,0,1,1,3,3,1603,2,4,0,0,0,0,0,0,0,0,0,0
2020/07/11,17,1,0,9,4,0,2,1,0,0,0,3,7,1645,0,0,0,0,0,0,0,0,0,2,0,0
2020/07/12,11,1,0,7,0,0,2,0,0,0,4,1,4,1440,0,0,0,0,0,1,0,0,1,0,0,0
2020/07/13,14,0,6,0,1,0,3,0,0,0,0,3,0,903,3,9,0,0,0,0,0,0,0,1,0,1
2020/07/14,3,1,1,1,0,0,1,0,0,0,0,0,1,1126,0,0,1,0,0,0,0,0,0,0,0,0
2020/07/15,9,2,3,1,0,0,5,0,0,0,0,0,2,1071,0,1,0,0,0,0,0,0,0,0,0,1
2020/07/16,5,2,2,1,0,0,1,0,0,0,1,0,1,1097,0,0,0,0,1,0,0,0,0,0,0,0
2020/07/17,10,2,2,1,1,1,4,1,0,0,0,0,1,1682,0,0,3,0,0,0,0,0,0,0,0,0
2020/07/18,6,0,0,1,0,0,1,0,0,0,0,0,1,1344,0,0,0,0,0,0,0,0,0,0,0,0
2020/07/19,15,0,6,7,0,0,5,0,1,0,1,1,6,1627,0,0,0,0,0,0,0,0,0,1,0,1
2020/07/20,12,0,10,1,0,0,10,0,0,0,0,1,1,881,0,0,0,0,1,0,0,0,0,0,0,0
2020/07/21,9,1,3,0,0,2,6,1,0,0,0,1,0,1002,0,0,1,0,0,0,0,0,0,0,0,0
2020/07/22,10,4,2,0,2,0,7,0,0,0,2,0,0,1066,1,0,0,0,0,0,0,0,0,0,0,0
2020/07/23,2,0,0,1,0,0,0,0,0,0,0,0,1,1083,1,1,0,0,0,0,0,0,0,0,0,0
2020/07/24,15,5,2,4,0,1,6,0,0,0,0,0,4,1237,3,3,0,0,0,0,0,0,0,0,0,0
2020/07/25,13,2,5,1,2,1,5,0,0,1,0,0,1,1331,1,0,0,0,0,0,0,0,4,0,0,0
2020/07/26,12,3,2,2,0,3,2,0,0,0,1,1,0,1492,0,0,2,0,0,2,0,0,0,1,0,1
2020/07/27,10,1,4,2,0,0,6,0,0,1,0,1,2,935,0,0,1,0,0,0,0,0,0,0,0,0
2020/07/28,22,2,2,7,2,2,4,0,0,0,2,6,6,1142,1,0,7,0,0,1,0,0,0,0,0,0
2020/07/29,10,3,0,4,0,2,0,0,0,0,2,1,4,528,0,0,0,0,2,0,0,0,0,0,0,0
2020/07/30,2,0,0,0,0,0,0,0,0,0,0,0,1,539,1,0,0,0,0,0,0,0,0,1,0,0
2020/07/31,5,1,2,2,0,0,2,0,0,0,0,0,2,1006,0,0,0,0,0,0,0,0,0,0,0,0
2020/08/01,9,1,2,1,1,0,3,0,0,0,1,0,0,630,0,0,0,0,0,0,0,0,0,0,0,0
2020/08/02,20,1,2,2,1,2,7,1,0,0,8,1,4,751,1,0,0,0,0,3,1,1,0,0,0,0
2020/08/03,7,2,3,0,0,0,1,0,0,0,2,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0
2020/08/04,10,1,6,2,0,1,4,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0
2020/08/05,9,0,0,1,1,3,0,0,0,0,3,4,0,46,0,0,0,0,5,0,0,0,0,0,0,0
2020/08/06,7,1,2,2,1,0,2,0,0,0,1,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0
2020/08/07,7,0,3,2,0,1,3,0,0,0,0,0,3,30,0,0,0,0,0,0,0,1,0,0,0,0
2020/08/08,8,1,1,1,0,0,1,0,0,1,1,0,1,13,1,0,0,0,0,0,1,0,0,0,0,0
2020/08/09,9,2,0,1,0,2,4,0,0,0,1,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0
2020/08/10,5,0,2,1,0,0,4,0,0,0,0,2,1,990,0,0,0,0,0,0,0,0,0,0,0,0
2020/08/11,4,1,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020/08/12,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020/08/13,1,0,1,0,0,0,1,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0
2020/08/14,7,3,2,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2020/08/15,3,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/08/16,10,4,1,1,1,1,1,1,0,0,3,1,1,5,0,0,1,0,0,0,0,0,0,1,0,0
2020/08/17,4,0,3,1,0,0,3,0,0,0,0,1,0,39,0,0,0,0,0,0,0,0,0,0,0,0
2020/08/18,3,1,1,0,0,0,0,0,0,0,1,0,1,11,0,0,0,0,0,0,0,1,0,0,0,0
2020/08/19,10,1,2,1,0,1,6,0,0,0,0,1,1,4,0,0,0,0,2,3,0,0,0,0,0,0
2020/08/20,2,1,1,0,0,0,0,0,0,0,0,0,0,77,0,0,1,0,0,0,0,0,0,0,0,0
2020/08/21,2,1,0,0,0,0,0,0,0,0,0,0,1,37,0,0,0,1,0,0,0,0,0,0,0,0
2020/08/22,7,0,3,1,1,1,1,0,0,0,0,1,0,10,0,0,3,0,0,0,0,0,0,0,0,0
2020/08/23,4,0,1,1,0,0,2,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
2020/08/24,5,0,3,0,0,0,4,0,0,0,0,0,0,34,2,0,1,0,0,0,0,0,0,0,0,0
2020/08/25,1,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2020/08/26,9,2,1,2,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0
2020/08/27,3,1,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/08/28,8,2,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2020/08/29,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/08/30,7,1,3,1,0,0,2,0,0,0,0,0,2,24,0,0,1,0,0,0,0,0,0,0,0,0
2020/08/31,11,4,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2020/09/01,10,2,1,3,0,1,2,1,0,0,1,1,2,0,0,0,0,0,1,1,0,1,0,0,0,0
2020/09/02,2,1,0,1,0,0,0,0,0,0,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0
2020/09/03,6,1,0,1,1,0,1,0,1,0,0,0,1,5,2,0,0,0,0,0,0,0,1,0,0,0
2020/09/04,5,1,0,0,0,0,0,0,0,0,1,0,1,39,0,1,0,0,0,1,0,0,0,0,0,1
2020/09/05,4,1,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2020/09/06,5,1,1,3,0,0,1,0,0,0,1,0,3,43,0,0,0,0,0,0,0,0,0,0,0,0
2020/09/07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/09/08,3,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2020/09/09,3,0,1,0,0,1,2,0,0,0,0,0,0,36,0,0,0,0,1,0,0,0,0,0,0,0
2020/09/10,7,0,0,2,1,1,3,0,0,0,0,0,1,12,1,0,0,0,0,2,0,0,0,0,0,0
2020/09/11,5,1,0,1,0,1,1,0,1,0,1,0,2,42,0,0,0,0,0,0,0,0,0,0,0,0
2020/09/12,5,0,0,3,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
2020/09/13,4,0,1,0,0,1,1,0,0,0,2,0,0,44,1,0,0,0,0,0,0,0,0,0,0,0
2020/09/14,3,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2020/09/15,7,2,0,4,0,0,1,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0
2020/09/16,8,0,1,2,0,2,1,0,0,0,0,1,2,0,2,0,0,1,0,0,0,0,0,0,1,0
2020/09/17,9,2,0,2,0,3,3,0,0,0,1,0,2,7,0,0,3,0,0,0,1,0,0,0,0,0
2020/09/18,4,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0
2020/09/19,10,5,1,2,0,0,2,0,1,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0
2020/09/20,8,1,0,0,0,1,0,0,1,0,4,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
2020/09/21,8,1,0,4,0,0,0,0,0,0,2,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0
2020/09/22,5,1,1,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/09/23,7,5,0,0,1,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/09/24,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020/09/25,6,1,0,2,0,1,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0
2020/09/26,7,1,2,0,2,0,2,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
2020/09/27,8,1,1,4,0,2,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/09/28,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2020/09/29,7,2,0,1,0,5,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2020/09/30,12,2,2,1,1,0,0,1,0,0,4,4,2,0,0,0,0,3,1,0,0,0,0,0,0,0
2020/10/01,6,3,0,1,0,0,0,2,0,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2020/10/02,15,4,1,4,0,0,2,2,0,0,0,1,3,4,2,0,0,4,0,1,1,0,0,0,0,0
2020/10/03,6,0,1,0,2,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
2020/10/04,7,2,0,2,0,2,3,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0
2020/10/05,7,1,2,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020/10/06,9,4,1,1,1,0,0,0,0,0,1,2,1,0,0,0,4,0,0,0,0,0,0,0,0,0
2020/10/07,6,2,1,2,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0
2020/10/08,6,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1
2020/10/09,12,2,1,2,0,2,0,0,0,0,2,3,3,0,1,0,1,4,0,0,0,0,0,0,1,0
2020/10/10,8,3,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,2,0,0
2020/10/11,2,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020/10/12,7,2,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,2,1,0,0,0,0,0,0,0
2020/10/13,3,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,1,0,0
2020/10/14,6,1,0,2,0,0,0,0,0,0,0,0,3,1,0,0,1,0,1,0,0,0,0,0,0,0
2020/10/15,5,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0
2020/10/16,10,2,0,3,0,0,0,1,0,0,2,1,2,2,0,0,0,4,0,1,0,0,0,0,0,0
